Title,Floor,Rooms,Living Space,Images,Country,Locality,PostalCode,Region,Street,Latitude,Longitude,Distance Public Transport,hasGarage,Is Minergie General,Is New Building,Extra cost,Gross cost,Net cost,Purchase cost,Description,Url
4-room Apartment in Kreis 8,3,4,89,"https://media2.homegate.ch/listings/hgonif/3002287493/image/577922feeef4b91b2d9d5325fb6069c0.jpg, https://media2.homegate.ch/listings/hgonif/3002287493/image/5c1f907f5d77fa83d98cfa5688581d79.jpg, https://media2.homegate.ch/listings/hgonif/3002287493/image/4d22558cb75a3fad194cd62fcaeb2a49.jpg, https://media2.homegate.ch/listings/hgonif/3002287493/image/bc0562643dcf5a0207400d56f61564c1.jpg, https://media2.homegate.ch/listings/hgonif/3002287493/image/3a4e0b8732984d0c3a5f0033a5bfb5eb.jpg",CH,Zürich,8008,ZH,Karl-Stauffer-Strasse 3,47.3568671,8.5716977,,,,,270,2690,2420,,"We are leaving our apartment and are looking to hand over our lease from mid-February.The apartment is on the top floor of a well-maintained building with access to the communal garden.There are 2 bedrooms, 1 bathroom, 1 toilet, 1 fully separate kitchen, 1 living room and 1 dining room. The dining and living room are separated by sliding doors, so you can use them as one space or separate them, if you wish.The apartment gets a lot of light from the morning until sunset.There are 2 storage rooms for exclusive use, 1 in the attic and 1 in the basement.Street Parking is available in Blaue Zone.The building does not allow pets.We are looking for new tenants who will take over selected furniture items.(Wardrobe, Couch, High Board, Low Board, Kitchen Furniture)",https://www.homegate.ch/mieten/3002287493
Nachhaltiges und modernes Wohnen an bevorzugter Lage,2,2.5,54,"https://media2.homegate.ch/listings/x449/3002271879/image/87bb86ca47ca2a68732c0415baeaaf18.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/84b7c468fe72b894c49ac98ca65be601.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/9e2ad1a6a8fc16a48e7aba64f8dc20fe.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/101786aec61630fce701b1a1e27497d8.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/3093ab8f66b1a19bc3e152f6f00b0e4d.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/e13f5dba2c52eceaced3e200ad88fbb1.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/e23864d9f92c979f96d63ac97e17f73f.jpg, https://media2.homegate.ch/listings/x449/3002271879/image/bf713d5b8517440cf07be2a84994bb5f.jpg, https://media2.homegate.ch/listings/x449/3002271879/document/ed5493080d50abb7482fc6ea2386e97d.pdf",CH,Zürich,8008,ZH,Russenweg 8,47.3568733,8.5722232,,,,,150,2690,2540,,"In Zürich-Hirslanden vermieten wir per 1. April 2023 eine 2.5-Zimmerwohnung in gehobenem Standard mit einladender Wohnqualität. Ein behaglicher und komfortabler Innenausbau, gut konzipierte Grundrisse, viel Licht und eine nachhaltige Bauweise erwartet Sie. Die attraktive Wohnüberbauung bietet allen - von jung bis alt, Paaren oder Alleinstehenden ein neues Zuhause.Die Überbauung ist sehr zentral gelegen, in unmittelbarer Nähe zum Wald (250 m), zum See (1.5 km) und zum Stadtzentrum (2.5 km). Den Bahnhof Stadelhofen und das Bellevue erreichen Sie vom Russenweg mit Tram oder Forchbahn in 10 Minuten und die Badi Tiefenbrunnen per Velo in gleicher Zeit.Die innovative sowie nachhaltige Wohnung überzeugt durch folgende Annehmlichkeiten:Offener WohnungsgrundrissAngenehme Materialisierung mit einem gegossenen Boden (sandfarbenem Anhydrit) sowie hell lasierten HolzdeckenDie hellen Küchen verfügen über modernste Geräte Moderne Nasszelle mit hochwertigen ArmaturenWaschtrockner in der Wohnung vorhandenFussbodenheizung in der gesamten WohnungGrosszügige Verglasung zum Balkon Dank dem Leichtbau in Holz, Erdwärmesonden und Wärmepumpe für Raumheizung und sommerliche Kühlung sowie einer Photovoltaikanlage auf der Dachfläche erfüllt die Liegenschaft höchste ökologische Anforderungen.Lassen Sie sich überraschen. Wir freuen uns auf Ihre Kontaktaufnahme.",https://www.homegate.ch/mieten/3002271879
Charmante 1.5-Zimmerwohnung mitten im Seefeld an ruhiger Lage,4,1.5,45,"https://media2.homegate.ch/listings/x580/3002198238/image/573488aec29685357e7004415d53a3cc.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/8a85f7a2f02decf852f479c3d1a9753b.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/46116ca620fddf1c9c7369532c1e582a.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/0ff7d21140012482d61fa86c132bd36e.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/314e2a37f0224497632bcfca60527f93.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/4b8af343bc6120c1210c542b151393d5.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/a8927705bdd94939d23d22388f6a0a4f.jpg, https://media2.homegate.ch/listings/x580/3002198238/image/c1149c99dec60f4525d0db981056bd70.jpg, https://media2.homegate.ch/listings/x580/3002198238/document/5c3b499e39e55136a64e532ab8a60478.pdf",CH,Zürich,8008,ZH,Mainaustrasse 49,47.3612993,8.5526925,100,,,,150,2390,2240,,"Mitten im Seefeld in einer ruhigen Seitenstrasse finden Sie diese schöne, lichtdurchflutete 1.5-Zimmerwohnung. Der grosszügige Wohnbereich ist mit einem edlen Parkettboden ausgestattet. Im Badezimmer und in der Küche sind keramische Platten verlegt. Mehrere Einbauschränke bieten in der Wohnung viel Stauraum. Auf dem Balkon können Sie die Nachmittagssonne und den Blick über die Dächer des Seefelds geniessen. Die Küche ist mit neuen Geräten (Glaskeramik, Geschirrspüler, Kühlschrank) ausgerüstet.Zum Entspannen steht Ihnen im Untergeschoss eine Sauna mit Fitnessgeräten zur Mitbenützung zur Verfügung.Aufgrund der zentralen Lage sind Sie in kürzester Zeit am Bahnhof Stadelhofen und profitieren von attraktiven Restaurants, Bars und Einkaufsmöglichkeiten im Seefeld. Das Gebäude liegt in einer ruhigen Quartierstrasse. In 5min erreichen Sie zu Fuss den wunderschönen Zürichsee.Ein Garagenplatz kann für CHF 290.00 dazu gemietet werden.Sichern Sie sich noch heute die Chance auf diese bezaubernde Wohnung und senden Sie uns das ausgefüllte Anmeldeformular (Word-Dokument anmeldeformular.doc) für eine Besichtigung!",https://www.homegate.ch/mieten/3002198238
"Wunderschöne 2,5-Zimmer Wohnung im Seefeld",1,2.5,55,"https://media2.homegate.ch/listings/hgonif/3002292347/image/5d7e5ce2271d2d686278fcc7ddb300ea.jpg, https://media2.homegate.ch/listings/hgonif/3002292347/image/3c7cbaf24dd12248e2dd26c190feb9de.jpg, https://media2.homegate.ch/listings/hgonif/3002292347/image/d93b6057ff645dfb581f9d554ff3404e.jpg, https://media2.homegate.ch/listings/hgonif/3002292347/image/a6945f1cf89b4291a424356ccd14238a.jpg, https://media2.homegate.ch/listings/hgonif/3002292347/image/01a5ccb33cc95551f77f0ad8010ebfaa.jpg",CH,Zürich,8008,ZH,Färberstrasse 27,47.359081,8.5529168,,,,,,2190,,,"Per 1.2.2023 wird eine wunderschöne 2,5-Zimmer Wohnung frei in einer ruhigen Liegenschaft im populären Seefeld wenige Gehminuten vom See entfernt. Die schicke Wohnung brilliert durch zwei sehr grosse helle Zimmer, die durch die hohen Decken noch grösser erscheinen, sowie die ruhige Ausrichtung entgegen eines Innenhofs. Der Eingangsbereich verfügt über praktische Einbauschränke. Die Küche ist mit dem Wohnzimmer verbunden und bilden eine angenehme Loftathmospähre.Die Küche und das Bad sind modern ausgestattet und verfügen über praktische Einbauschränke. Auf Wunsch können einige Möbelstücke des Vormieters übernommen werden. On 1 February 2023 a beautiful 2,5-room apartment in a silent area of the very popular Seefeld part of Zurich can be taken over. It is located only few waling minutes fron the lake. The chic apartment stands out due to its two large and bright room, which appear even large due to the very high ceiling height. The entrance area is equipped with several practical shelves. The kitchen is connected to the large living room building a very pleasant loft atmosphere.The kitchen and bathroom are modern and also equipped with practical shelves. Upon interest some of the furniture of the previous tenant can be taken over.",https://www.homegate.ch/mieten/3002292347
Mitten in der Stadt und dennoch ruhig,0,1.5,38,"https://media2.homegate.ch/listings/z409casa/3002200218/image/d18e301c4ac7b63acb924e642fabb2be.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/eed629aa6826aed3ab949e41ce0422cb.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/85dc515dc10eda2aae31fc42b2e9a863.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/3c7b978c01731b3452e83ca8c01ac6d8.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/f15953404a2dc7a966a3c9cbc7197716.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/8a81a1c8d060ecd2db76524766bb4309.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/d8f0a60ffd8fa3fe33b349459d8a5fdd.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/3920709dd1b93346064d78f128660ebb.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/3688ab80b901b885976f0751777e7edc.jpg, https://media2.homegate.ch/listings/z409casa/3002200218/image/70b86ba207d279ac48858c1c32f5dc9c.jpg",CH,Zürich,8008,ZH,Gletscherstrasse 10,47.3567122,8.5578889,,,,,185,1900,1715,,"In dieser charmanten Wohnung mitten in Zürich werden Sie sich unglaublich wohlfühlen. Perfekt passend in die Umgebung, überzeugt der Bau mit einem selbstbewussten und harmonischen Erscheinungsbild. Gelegen mitten zur Infrastruktur des täglichen Bedarfs bietet die Wohnung eine optimale Ausgangslage für alle Altersstufen. Ein weiterer Pluspunkt ist der Gartensitzplatz, welcher mitbenutzt werden darf. Hier geniessen Sie die Ruhe sowie auch das City-Leben. Kommen Sie vorbei und überzeugen Sie sich selbst!Dieses properti-Angebot zeichnet sich durch folgende Vorteile aus: Ruhiges WohnquartierMitten im ZentrumRestaurants, Cafés und Einkaufsmöglichkeiten vor der TürInteressiert? Kontaktieren Sie uns für ein unverbindliches Gespräch!Selbst eine Immobilie zu vermarkten? Wir überzeugen mit fairen und transparenten Konditionen!",https://www.homegate.ch/mieten/3002200218
"Freie Besichtigung am Freitag, 11.11.2022 von 15:30 bis 16:00 Uhr",,3.5,,"https://media2.homegate.ch/listings/seikx/3002197040/image/f6914601fc0b76c6e9da9bc89463588f.jpg, https://media2.homegate.ch/listings/seikx/3002197040/image/ee00c16b1cfce703040b7be76c33f823.jpg, https://media2.homegate.ch/listings/seikx/3002197040/image/de897e836caf00fb47fa1fa4759a238a.jpg, https://media2.homegate.ch/listings/seikx/3002197040/image/4af8cc455f454c4f821ef15a7cb93aea.jpg",CH,Zürich,8008,ZH,Reinhardstrasse 16,47.3628836,8.5516319,,,,,220,2640,2420,,"Freie Besichtigung am Freitag, 11.11.2022 von 15:30 bis 16:00 UhrPer 16.11.2022 oder nach Vereinbarung vermieten wir diese 3.5-Zimmerwohnung im schönen Zürcher Seefeld. Unweit der Liegenschaft befindet sich die Bus/Tramstation ""Kreuzstrasse"" und von dort aus sind Sie in nur wenigen Fahrminuten im Stadtzentrum.Die Wohnung verfügt über folgende Eigenschaften:Abgeschlossene KücheBadezimmer mit BadewanneWohnzimmer mit Cheminée und Balkon2 SchlafzimmerWohnung verfügt über neuen LaminatbodenEigene Waschküche mit WaschturmKein Lift vorhandenHaben wir Ihr Interesse geweckt? Dann zögern Sie nicht, uns zu kontaktieren.",https://www.homegate.ch/mieten/3002197040
"4.5 Zimmer-Wohnung zu vermieten, perfekte Wohnlage Nähe Kunsthaus",,4.5,,"https://media2.homegate.ch/listings/linmiet/3002247374/image/32aa003474235052a4e368fa73eee96f.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/4d35600985eed2d1d71c183dfc78d58c.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/6457a43b1e344324532159a6430bfc8b.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/ad6ec47de55b1f5f800fac4877755a2e.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/6ba3bd7374e35ee6423f95f2db412c6e.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/c9d1d1e67caadb72ccf709841cd42553.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/e85404a3dacd4ff0d130bf0cdab3948c.jpg, https://media2.homegate.ch/listings/linmiet/3002247374/image/a3f4b0eded789a6d8dd616a4094d9bf4.jpg",CH,Zürich,8032,ZH,Minervastrasse 10,47.3691114,8.5527614,,,,,145,3495,3350,,"Schöne 4.5-ZWG im Seefeld zu vermietenPer 1 . Januar 2023 vermieten wir im Seefeld (30er Zone) eine 4.5-Zimmer-Wohnung.Die Wohnung verfügt über folgenden Ausbaustandard:Wohn- und Schlafzimmer mit Parkettboden verlegtKlinker im KorridorEinbauschränke im Korridor vorhandenBalkon vorhandenKellerabteil gehört ebenfalls zur WohnungBus- und Tramhaltestelle in unmittelbarer NäheLift vorhandenDiese schöne Wohnung an zentraler Lage eignet sich für ein Paar oder eine Familie. Der Sammelbesichtigungstermin findet am Mittwoch, 21.12.2022 um 16:00 ? 16:30 Uhr statt.",https://www.homegate.ch/mieten/3002247374
Sanierte Wohnung an zentraler Lage,2,4.5,94,"https://media2.homegate.ch/listings/strsub/3002239548/image/2fba078735db3ec253eea937c58ec04e.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/c4324a3bcdaa470d952d97a61b818281.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/f33a3a2c15cbc96d9f47a1dd97203261.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/c9911b82d3d1ebb359917e23096e0cdf.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/8def1929d10d0a6214f6f13c5b88a29a.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/372b0fac5545995588a6aab7bddf119f.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/c7ff68ddc37f73e63e9b832327d49275.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/e0f48656a8b955c76d0dd5dbd0dae345.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/23ae4a3326f37a2ada7a9b0afad983cc.jpg, https://media2.homegate.ch/listings/strsub/3002239548/image/581b9e22680827efd4866ac5b0c2f505.jpg, https://media2.homegate.ch/listings/strsub/3002239548/document/a70bbb063db957613409b5dde1fc4672.pdf",CH,Zürich,8032,ZH,Forchstrasse 213,47.3599415,8.5692988,,,,,345,3145,2800,,"Wir vermieten per 15. Dezember 2022 oder nach Vereinbarung diese sanierte 4 ½-Zimmerwohnung an zentraler Lage. Die neu eingebaute Küche verfügt über einen Kühlschrank, Geschirrspüler, Backofen, Glaskeramikkochfeld sowie viel Stauraum. Weiter ist die Küche mit einem neuen Vinyl-Boden ausgestattet. Das Badezimmer zeichnet sich durch zwei neue Waschtische, neuem Spiegelschrank sowie einer Badewanne aus. Ausserdem sorgt das Fenster für genügend Tageslicht. Das separate WC mit Lavabo und Spiegel befindet sich gleich nebenan. Vom Wohn-/Esszimmer ist der Balkon zugänglich, welcher zu gemütlichen Stunden einlädt. Sämtliche Wohn- und Schlafzimmer, der Korridor sowie das Reduit sind mit einem neuen Parkettboden versehen. Zwei Zimmer lassen sich mit einer Schiebetür verbinden. In wenigen Gehminuten ist die Tram Haltestelle «Wetlistrasse» zu erreichen. Benötigen Sie mehr Stauraum? Die Einbauschränke im Korridor und das Kellerabteil bietet Ihnen dies. Haben wir Ihr Interesse geweckt? So nehmen Sie direkt mit uns Kontakt auf. Gerne vereinbaren wir mit Ihnen einen unverbindlichen Besichtigungstermin.",https://www.homegate.ch/mieten/3002239548
2.5 Zimmer Wohnung mit Dachterrasse in Hottingen,3,2.5,60,"https://media2.homegate.ch/listings/x551/3002071572/image/86732bbef5a608f8952fb6417f101bb9.jpg, https://media2.homegate.ch/listings/x551/3002071572/image/1d88d4c48b218398309232e19f34cb02.jpg, https://media2.homegate.ch/listings/x551/3002071572/image/3fe265175ee2e36de26ae4219c332a11.jpg, https://media2.homegate.ch/listings/x551/3002071572/image/67079b8d729c520bc0c88bbe067c3aaa.jpg, https://media2.homegate.ch/listings/x551/3002071572/image/b88516f59cb1b47fcbc08b77b313d09a.jpg, https://media2.homegate.ch/listings/x551/3002071572/image/4e79768f002d93db8f0efa03a1641669.jpg",CH,Zürich,8032,ZH,Asylstrasse 125,47.3652874,8.5649508,100,,,,,3150,,,"NEUKUNDEN ANGEBOT- komplett möbliert (kann entfernt werden)- gratis Wi-Fi Internet- 24 Stunden Hotline- alle Nebenkosten inbegriffen (inkl. Strom, Heizkosten, Waschküche, etc.)- Haustiere auf Anfrage- Parkplätze auf Anfrage- Endreinigung inklusive- 3 Monatsmieten Depot- angegebener Mietzins befristet auf 6 MonateAngegebener Mietpreis gilt ab einer Mindestmietdauer von 3 Monaten, Kündigungsfrist 30 Tage.***OFFER FOR NEW CUSTOMERS- completely furnished (can be removed)- free Wi-Fi internet access- 24/7 Hotline- all additional costs included (incl. electricity, heating costs, shared laundry, etc.)- Pets allowed on request- Parking spaces on request- Final cleaning Included- 3 months deposit- rental price is limited for 6 monthsThe indicated rental price is valid from a minimum rental period of 3 months, notice period 30 days.",https://www.homegate.ch/mieten/3002071572
2.5 Zimmer Wohnung in Hottingen,3,2.5,40,"https://media2.homegate.ch/listings/x551/3001683216/image/4472d0c9eaaa67a01933821f2e840461.jpg, https://media2.homegate.ch/listings/x551/3001683216/image/1262e3c10f8cb93fb438680dc82f7af3.jpg, https://media2.homegate.ch/listings/x551/3001683216/image/a51de7cd4e49c5a40bcd740e921eb2b0.jpg, https://media2.homegate.ch/listings/x551/3001683216/image/8ef2d1c47fd59ac8abcb034036e4b6f5.jpg, https://media2.homegate.ch/listings/x551/3001683216/image/4d6ad0a693e25074b2ff9278e24d2339.jpg, https://media2.homegate.ch/listings/x551/3001683216/image/0c615d871efb1c7d62ea211bfb259acd.jpg",CH,Zürich,8032,ZH,Asylstrasse 125,47.3652874,8.5649508,100,,,,,2880,,,"NEUKUNDEN ANGEBOT- komplett möbliert (kann entfernt werden)- gratis Wi-Fi Internet- alle Nebenkosten inbegriffen (inkl. Strom, Heizkosten, Waschküche, etc.)- Haustiere auf Anfrage- 2 Monatsmieten DepotAngegebener Mietpreis gilt ab einer Mindestmietdauer von 3 Monaten, Kündigungsfrist 30 Tage.***OFFER FOR NEW CUSTOMERS- completely furnished (can be removed)- free Wi-Fi internet access- all additional costs included (incl. electricity, heating costs, shared laundry, etc.)- Pets allowed on request- 2 months depositThe indicated rental price is valid from a minimum rental period of 3 months, notice period 30 days.",https://www.homegate.ch/mieten/3001683216
Über den Dächern von Zürich,4,3.5,,"https://media2.homegate.ch/listings/bui/3002291638/image/3a99252eda55c2e3e0ab0a1a8c477e85.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/a2bcfdde0f9285cc338741772590b545.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/3f6bad503f8dfba6058d95c05cfe3e0c.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/465c6211892d10389569a8277e63d478.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/177013c72b7e009985b45b38ff18884b.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/6f2fcbaee308bc5e7be4e8a2810d93c3.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/71eee49605f7582d92b2d8d21a6ce68d.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/a642b81ce79899d617ce6450b478e81b.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/eb976289eefd9036bb230f1d25b36e1a.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/fca38c125075d40c6a07515e76f8784a.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/b55ecc0c1c1b8b9c8dd661882e2e5bc6.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/5ac83ed3df6f8f87cafeaa0b469f8e6e.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/ffc4f292d2bb48cdcf07a3a293edbd4b.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/1bf6937b96d240252b7f795475bcfa77.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/40469fc2c7fde879802e7420acb6c4c6.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/f3eabdde2ef0b6ccb491fb12472d95c8.jpg, https://media2.homegate.ch/listings/bui/3002291638/image/c33568202376dbca5d25760d5314c58c.jpg",CH,Zürich,8032,ZH,Neptunstrasse 8,47.3685475,8.5541147,200,,,,305,2590,2285,,"Sie schätzen eine begehrte Lage in Zürich, mit dem See und dem Strandbad zum Greifen nah, Einkaufs- und Einkehrmöglichkeiten sowie Tram und S-Bahn in kurzer Gehdistanz?Diese heimelige und grosszügige 3.5-Zimmerwohnung lässt Städterherzen höher schlagen. Die Wohnung befindet sich in einem gepflegtem, kleinen Mehrfamilienhaus in einem ruhigen Wohnquartier inmitten von Zürich.Das Highlight der hellen Dachwohnung ist wohl die TOP Aussicht vom kleinen, aber feinen Balkon.- Küche, Korridor, Wohn-und Schlafzimmer sowie die Galerie (2. Zimmer) mit Parkettböden- Badezimmer und sep. Toilette mit Plattenböden- sonniger Balkon mit Steinplatten- grosszügige Küche mit Essbereich- Badezimmer mit Dusche, Badewanne, Toilette und grosszügige Ablagefläche- sep. KellerabteilMachen Sie sich selber ein Bild von Ihrem zukünftigen zu Hause.Besichtigungstermin ohne Voranmeldung:Freitag, 30. Dezember 2022 von 18.00 Uhr - 19.00 Uhr.Mittwoch, 4. Januar 2023 von 18.00 Uhr - 19.00 Uhr.Bitte beim Mieter Roloff klingeln.---------------------------------------------------------------------------------------------------------------Weitere Angebote und Informationen finden Sie auch auf unserer Homepage www.burgring.ch und www.burgring-zo.ch.Burgring AG ImmobilienDer Lebenszyklus Ihrer Immobilie in professioneller Begleitung.Projektentwicklung – Verkauf – Vermarktung – Bewirtschaftung---------------------------------------------------------------------------------------------------------------",https://www.homegate.ch/mieten/3002291638
Apartment in Zurich,0,2.5,62,"https://media2.homegate.ch/listings/hgonif/3002272273/image/500f802ad44b7fb6217934ce430b10fe.jpg, https://media2.homegate.ch/listings/hgonif/3002272273/image/9e551dcd808886622196c2fbfe2e529a.jpg, https://media2.homegate.ch/listings/hgonif/3002272273/image/6bcd4b7048514699ce878f0fa55c052e.jpg",CH,Zürich,8032,ZH,Minervastrasse 134,47.3631998,8.5586401,,True,,True,,2640,,,"Im beliebten Stadtquartier ""Hottingen"" vermieten wir per 01.01.2023 eine schöne, anspruchsvolle, Neubauwohnung inklusive Garagenplatz an ruhiger jedoch zentraler Lage. Die Wohnung ist für Paare als auch für Familien bestens geeignet. Die Bushaltestelle befindet sich in unmittelbarer Nähe des Hauses.Schöne moderne Küche sowie Bad mit Badewanne, WC, Waschmaschine und Trockner. Grosser Keller.Ausserdem gehört eine 8m2 Terrasse zur Wohnung.Garagenplatz zusätzlich CHF 240/ Monat. Wir freuen uns auf Ihre Kontaktaufnahme!",https://www.homegate.ch/mieten/3002272273
Urban wohnen attraktive Wohnungen für Menschen über 50,2,3.5,80,"https://media2.homegate.ch/listings/jhk/3002182600/image/af41a446e5d57f6dd947a3ecb04118c7.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/26e721ec604b7277cd1ebdea89c8ca11.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/f668d409f764fe07c76b13f551505788.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/a271671c5424e46a97747921adc082b4.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/781100308e03874db01365cdd6a19000.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/b2fa3ceea63c5d036261cb12d36d4c70.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/0a5b9e4896d3d26ae6e29f9760c94eae.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/03d1dacdd1e87d0d80ec2217870d3c55.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/990861af768f64dd62fe898070e54911.jpg, https://media2.homegate.ch/listings/jhk/3002182600/image/54f6c06b507d2f4e326769ad5acbcf61.jpg",CH,Zürich,8032,ZH,Hofackerstrasse 3/5,47.3617877,8.5620633,,True,,,,2510,2510,,"Suchen Sie eine attraktive Neubauwohnung mitten in Zürich? Ist mindestens eine Person Ihres Haushalts über 50-jährig? Dann lohnt es sich, weiterzulesen: Wir vermieten per 1. Feburar 2023 an der Hofackerstrasse 1-5 beim zentral gelegenen Hegibachplatz eine 3.5-Zimmer-Wohnung im 2. OG. Die Wohnung ist mit allem ausgestattet, was modernes und behagliches Wohnen ausmacht. Informieren Sie sich über unsere Website www.hofackerstrasse1-5.ch über alle Details und die Mietbedingungen. Auf https://www.virtualdesignunit.com/360pano/0529_wohnung_3/0529_wohnung_3.html laden wir Sie auf einen virtuellen Rundgang ein. Wir freuen uns auf Ihr Interesse.",https://www.homegate.ch/mieten/3002182600
Geräumige Attikawohnung mit schöner Aussicht,3,2.5,54,"https://media2.homegate.ch/listings/rzhr/3002293293/image/04405c5f1ec0e509d0bf1c98d28154ba.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/19d733d542505b7b7246c14ff00ba0a0.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/b6f64fb2ab433f49bb0a953120336e8b.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/2a7ee49bbb24dd74d6bd4b12b0424d12.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/cf4582622333e4c273eaf0e717b3bca5.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/d851af3850c2fc106968d00b5db3858d.png, https://media2.homegate.ch/listings/rzhr/3002293293/image/5d91dc6df61c76d6567141772e19a7ee.png",CH,Zürich,8032,ZH,Forchstr. 158,47.3602281,8.5647414,5,,,,230,2430,2200,,Wir vermieten eine grosszügige Wohnung oberhalb vom Hegibachplatz. Geniessen Sie die herrliche Sicht wie auch die gemütlichen Stunden auf der grossen Terrasse. Die Forchbahn- und Tramhaltestelle (Hedwigsteig) befindet sich direkt vor dem Hauseingang. Diverse Einkaufsmöglichkeiten erreichen Sie in ein paar Minuten im nahegelegenen Kreuzplatz oder dem Seefeldquartier.Für Ihre Wohnqualität: - Offene Küche mit Granitabdeckung und Geschirrspüler - Ganze Wohnung mit hellem Parkettboden - Badezimmer/WC mit Fenster - Separates WC - Eigenes CheminéeInteressiert? Dann lohnt sich eine Besichtigung.,https://www.homegate.ch/mieten/3002293293
